Date,Time,Temp,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Speed
"Tuesday, June 19, 2018",12:00 AM,31.0,33.0,20.0,52,1001,3.5,11.1
"Tuesday, June 19, 2018",12:30 AM,30.0,31.9,20.0,55,1001,3.5,9.3
"Tuesday, June 19, 2018",1:00 AM,30.0,31.9,20.0,55,1001,3.5,9.3
"Tuesday, June 19, 2018",1:30 AM,29.0,30.7,20.0,58,1001,3.5,13.0
"Tuesday, June 19, 2018",2:00 AM,29.0,30.7,20.0,58,1001,3.5,11.1
"Tuesday, June 19, 2018",2:30 AM,30,-,24,64,999,2,9.3
"Tuesday, June 19, 2018",2:30 AM,29.0,30.7,20.0,58,1000,3.5,11.1
"Tuesday, June 19, 2018",3:30 AM,29.0,30.7,20.0,58,1000,3.5,9.3
"Tuesday, June 19, 2018",4:00 AM,28.0,29.7,20.0,62,1000,3.5,Calm
"Tuesday, June 19, 2018",4:30 AM,27.0,28.9,21.0,70,1000,3.5,Calm
"Tuesday, June 19, 2018",5:00 AM,26.0,-,21.0,74,1001,3.5,Calm
"Tuesday, June 19, 2018",5:30 AM,27,-,24,77,1000,2,7.4
"Tuesday, June 19, 2018",5:30 AM,26.0,-,21.0,74,1001,-,7.4
"Tuesday, June 19, 2018",6:30 AM,27.0,28.9,21.0,70,1001,2.1,5.6
"Tuesday, June 19, 2018",7:30 AM,28.0,30.2,21.0,66,1002,2.1,14.8
"Tuesday, June 19, 2018",8:00 AM,29.0,31.3,21.0,62,1002,2.2,14.8
"Tuesday, June 19, 2018",8:30 AM,30,-,26,72,1001,2,14.8
"Tuesday, June 19, 2018",8:30 AM,30.0,32.4,21.0,58,1003,2.2,14.8
"Tuesday, June 19, 2018",9:00 AM,31.0,33.7,21.0,55,1003,2.2,11.1
"Tuesday, June 19, 2018",9:30 AM,32.0,34.9,21.0,52,1002,2.5,11.1
"Tuesday, June 19, 2018",10:00 AM,32.0,34.9,21.0,52,1002,2.5,11.1
"Tuesday, June 19, 2018",10:30 AM,32.0,34.9,21.0,52,1002,2.5,11.1
"Tuesday, June 19, 2018",11:00 AM,34.0,37.1,21.0,46,1002,2.8,11.1
"Tuesday, June 19, 2018",11:30 AM,36,-,22,36,1000,2,11.1
"Tuesday, June 19, 2018",11:30 AM,35.0,38.5,21.0,44,1002,-,11.1
"Tuesday, June 19, 2018",12:30 PM,36.0,38.8,20.0,39,1001,3.5,11.1
"Tuesday, June 19, 2018",1:00 PM,37.0,40.1,20.0,37,1001,3.5,11.1
"Tuesday, June 19, 2018",1:30 PM,40.0,43.6,20.0,31,1001,4.0,22.2
"Tuesday, June 19, 2018",2:00 PM,40.0,44.5,21.0,33,1000,4.0,22.2
"Tuesday, June 19, 2018",2:30 PM,40,-,26,36,998,4,22.2
"Tuesday, June 19, 2018",2:30 PM,40.0,42.7,19.0,29,1000,4.0,18.5
"Tuesday, June 19, 2018",3:00 PM,40.0,41.9,18.0,27,1000,4.0,18.5
"Tuesday, June 19, 2018",3:30 PM,40.0,41.9,18.0,27,999,4.0,14.8
"Tuesday, June 19, 2018",4:00 PM,40.0,42.7,19.0,29,999,4.0,14.8
"Tuesday, June 19, 2018",4:30 PM,40.0,42.7,19.0,29,999,4.0,14.8
"Tuesday, June 19, 2018",5:00 PM,40.0,41.9,18.0,27,998,4.0,18.5
"Tuesday, June 19, 2018",5:30 PM,40,-,25,34,996,2,16.7
"Tuesday, June 19, 2018",5:30 PM,40.0,41.9,18.0,27,998,3.5,16.7
"Tuesday, June 19, 2018",6:00 PM,40.0,41.9,18.0,27,998,3.5,16.7
"Tuesday, June 19, 2018",6:30 PM,40.0,41.9,18.0,27,998,3.5,16.7
"Tuesday, June 19, 2018",7:00 PM,38.0,39.1,17.0,29,998,3.5,16.7
"Tuesday, June 19, 2018",7:30 PM,37.0,37.8,17.0,30,999,4.0,14.8
"Tuesday, June 19, 2018",8:00 PM,36.0,37.2,18.0,34,999,4.0,13.0
"Tuesday, June 19, 2018",8:30 PM,36,-,26,48,998,4,14.8
"Tuesday, June 19, 2018",8:30 PM,36.0,37.2,18.0,34,1000,3.5,11.1
"Tuesday, June 19, 2018",10:00 PM,35.0,37.5,20.0,41,1001,3.5,5.6
"Tuesday, June 19, 2018",10:30 PM,34.0,35.7,19.0,41,1001,3.5,5.6
"Tuesday, June 19, 2018",11:00 PM,34.0,35.7,19.0,41,1001,3.5,7.4
"Tuesday, June 19, 2018",11:30 PM,33,-,26,60,1000,2,7.4
"Tuesday, June 19, 2018",11:30 PM,34.0,36.5,20.0,44,1001,3.5,5.6
